vendor,product_name,current_price,old_price,month
Metro,"Latte Coffee T-Discs, Tassimo",9.99,11.99,10
Metro,Roasted And Ground Coffee,7.49,7.99,6
Metro,Roasted And Ground Coffee,7.49,7.99,7
Metro,"Long Espresso Coffee T Discs, Carte Noire",8.99,12.49,6
Metro,"Long Espresso Coffee T Discs, Carte Noire",9.99,11.99,7
Metro,"Long Espresso Coffee T Discs, Carte Noire",8.49,11.99,9
Metro,"Long Espresso Coffee T Discs, Carte Noire",9.49,11.99,9
Metro,"Long Espresso Coffee T Discs, Carte Noire",9.49,11.99,10
Metro,"Long Espresso Coffee T Discs, Carte Noire",9.99,11.99,10
Metro,"Rich Dark Roast Coffee T Discs, Tassimo",5.99,9.99,6
Metro,"Rich Dark Roast Coffee T Discs, Tassimo",5.99,9.99,7
Metro,"Rich Dark Roast Coffee T Discs, Tassimo",8.99,9.99,8
Metro,"Rich Dark Roast Coffee T Discs, Tassimo",8.99,9.99,9
Metro,"Rich Dark Roast Coffee T Discs, Tassimo",5.99,9.99,9
Metro,"Rich Dark Roast Coffee T Discs, Tassimo",8.49,9.99,9
Metro,"Rich Dark Roast Coffee T Discs, Tassimo",8.49,9.99,10
Metro,Ground Roasted Coffee,4.29,4.79,6
Metro,Ground Roasted Coffee,4.29,4.79,7
Metro,Italian Espresso Platinum Coffee Capsule,8.99,9.99,9
Metro,Coffee Lover Mix Snack,6.49,7.99,8
Metro,Coffee Lover Mix Snack,6.49,7.99,9
Metro,Coffee Lover Mix Snack,6.49,7.99,10
Metro,"Dark Roast K-Cup Coffee Pods, Keurig",22.99,24.99,8
Metro,"Dark Roast K-Cup Coffee Pods, Keurig",22.99,24.99,9
Metro,"Dark Roast K-Cup Coffee Pods, Keurig",22.99,24.99,10
Metro,"Medium Roast K-Cup Coffee Pods, Lively Colombian",20.99,22.99,8
Metro,"Medium Roast K-Cup Coffee Pods, Lively Colombian",16.99,22.99,8
Metro,"Medium Roast K-Cup Coffee Pods, Lively Colombian",16.99,22.99,9
Metro,"Medium Roast K-Cup Coffee Pods, Lively Colombian",21.99,23.99,10
Metro,Caramel Flavoured Instant Iced Latte Coffee,5.99,10.99,9
Metro,Caramel Flavoured Instant Iced Latte Coffee,9.99,10.99,9
Metro,Caramel Flavoured Instant Iced Latte Coffee,9.99,10.99,10
Metro,Caramel Flavoured Instant Iced Latte Coffee,5.99,10.99,10
Metro,1896 Tradition Ground Coffee,8.99,11.99,6
Metro,1896 Tradition Ground Coffee,9.99,11.99,7
Metro,1896 Tradition Ground Coffee,10.99,11.99,8
Metro,1896 Tradition Ground Coffee,10.99,11.99,9
Metro,1896 Tradition Ground Coffee,10.49,11.99,9
Metro,1896 Tradition Ground Coffee,10.49,11.99,10
Metro,1896 Tradition Ground Coffee,9.99,11.99,10
Metro,Instant Cold Coffee Mix,6.99,8.79,7
Metro,Instant Cold Coffee Mix,6.99,8.79,8
Metro,Instant Cold Coffee Mix,5.99,8.79,8
Metro,Instant Cold Coffee Mix,5.99,8.79,9
Metro,Instant Cold Coffee Mix,5.99,8.79,10
Metro,Lively Up™ Dark Roast Coffee Pods,17.99,20.49,9
Metro,Lively Up™ Dark Roast Coffee Pods,16.99,20.49,9
Metro,Lively Up™ Dark Roast Coffee Pods,16.99,20.49,10
Metro,"Dark Roast Ground Coffee,  Sumatra",7.99,9.99,10
Metro,Halloween edition Pumpkin Spice Flavoured Coffee Enh...,7.49,8.99,10
Metro,"Dark Roast K-Cup Coffee Pods, House Blend Dark",19.99,21.99,6
Metro,"Dark Roast K-Cup Coffee Pods, House Blend Dark",19.99,21.99,7
Metro,"Dark Roast K-Cup Coffee Pods, House Blend Dark",20.99,21.99,8
Metro,"Dark Roast K-Cup Coffee Pods, House Blend Dark",19.99,21.99,8
Metro,"Dark Roast K-Cup Coffee Pods, House Blend Dark",19.99,21.99,9
Metro,"Dark Roast K-Cup Coffee Pods, House Blend Dark",19.99,21.99,10
Metro,"Dark Roast K-Cup Coffee Pods, House Blend Dark",20.99,21.99,10
Metro,"Dark Roast Italian Blend Ground Coffee, Organic",9.49,9.99,10
Metro,"Dark Roast Italian Blend Ground Coffee, Organic",9.49,9.99,11
Metro,Medium Roast Half-Caffeine K-Cup Coffee Pods,9.99,12.99,6
Metro,Medium Roast Half-Caffeine K-Cup Coffee Pods,11.49,12.99,8
Metro,Medium Roast Half-Caffeine K-Cup Coffee Pods,9.99,12.99,9
Metro,Medium Roast Half-Caffeine K-Cup Coffee Pods,11.49,12.99,9
Metro,Medium Roast Half-Caffeine K-Cup Coffee Pods,11.49,12.99,10
Metro,Medium Roast Half-Caffeine K-Cup Coffee Pods,12.49,12.99,10
Metro,Medium Roast Half-Caffeine K-Cup Coffee Pods,12.49,12.99,11
Metro,"Dark Italian Roast Instant Coffee, Via Instant",8.49,9.99,7
Metro,"Dark Italian Roast Instant Coffee, Via Instant",8.49,9.99,8
Metro,"Dark Italian Roast Instant Coffee, Via Instant",7.99,9.99,9
Metro,"Dark Italian Roast Instant Coffee, Via Instant",7.99,9.99,10
Metro,"Dark Italian Roast Instant Coffee, Via Instant",7.99,9.99,11
Metro,"Medium Roast Coffee Beans, Pioneer Blend",11.99,13.99,9
